Strains,E-SGM,E-FRU,E-woVits,E-NH4-HN,E-NH4-LN,E-AA-HN,E-AA-LN,E-M100,E-M200,E-pH3,E-pH4,E-Cu,E-Et7,E-30%GF,E-32º,E-15º,E-MAL,E-CIT,E-TAR,E-GLU,E-SER,E-PRO,E-LYS,E-ARG,E-THR,E-GLUT,E-NH4,ETHANOL,pH,TA,ACETIC ACID,MALIC ACID,LACTIC ACID,TARTARIC ACID,CITRIC ACID,SUCCINIC ACID,GLUCOSE,FRUCTOSE,SUGARS,GLICERINE,AMMONIA,PAN
Ap_1,0.192,0.068,0.149,1.439,0.767,1.401,0.869,0.634,0.146,1.286,1.304,0.476,0.017,1.118,1.326,0.654,0.242,0.284,0.136,0.139,0.29,0.51,0.466,0.815,0.341,0.577,0.936,0.45,3.35,4.36,0.03,2.43,0,1.39,0.05,0,93.7,92.31,194,0,58,99
Ap_2,0.133,0.176,0.092,1.417,0.792,1.387,0.872,0.772,0.356,1.292,1.305,0.346,0.013,1.135,1.298,0.776,0.207,0.336,0.152,0.121,0.704,0.345,0.327,0.647,0.372,0.645,0.607,0.42,3.41,4.17,0,2.75,0,1.24,0.02,0,99.03,97.05,198,0,57,98
Ap_6,0.121,0.638,0.102,1.391,0.81,1.36,0.878,0.66,0.112,1.316,1.306,0.36,0.017,1.108,1.306,0.848,0.148,0.141,0.109,0.096,0.711,0.465,0.633,0.677,0.367,0.492,0.736,1.09,3.36,4.33,0.18,3.06,0,1.14,0.16,0.11,96.08,96.63,187,0,55,83
Ba_1,0.657,0.779,0.168,0.648,0.328,0.678,0.339,0.548,0.433,0.624,0.574,0.361,0.523,0.277,0.513,0.033,0.128,0.051,0.046,0.225,0.751,0.471,0.843,0.805,0.629,0.744,0.813,2.485,3.16,4.52,0.28,2.79,0.03,1.36,0,0.055,86.96,94.4,168,0,12,77
Ca_1,0.15,0.064,0.022,1.238,0.849,1.353,0.92,0.715,0.256,1.297,1.261,1.693,0.044,1.128,1.313,0.798,0.32,0.306,0.237,0.203,0.29,0.433,0.313,0.43,0.349,0.461,0.38,0.47,3.38,4.27,0.17,3.07,0,1.09,0,0,103.82,103.6,203,0,52,101
Ca_3,0.105,0.061,0.051,1.231,0.748,1.266,0.811,0.526,0.429,1.272,1.067,0.114,0.023,1,1.277,0.366,0.2,0.272,0.239,0.197,0.433,0.334,0.463,0.502,0.538,0.543,0.622,0.48,3.4,4.21,0.08,3.11,0,1.15,0,0,105.02,104.49,204,0,52,102
Ca_6,0.131,0.067,0.042,1.269,0.833,1.275,0.855,1.152,0.53,1.268,1.158,0.808,0.008,1.041,1.221,0.484,0.231,0.244,0.235,0.156,0.312,0.365,0.294,0.389,0.333,0.458,0.398,0.54,3.43,4.18,0.11,3.15,0,1.14,0.01,0,105.85,105.56,204,0,47,101
Cf_1,0.834,0.946,0.157,0.965,0.571,0.859,0.597,0.867,0.286,0.863,0.774,0.725,0.171,0.681,0.704,0.238,0.139,0.112,0.016,0.369,0.727,0.506,0.641,0.713,0.627,0.607,0.573,1.225,3.335,3.885,0,2.68,0,1.25,0.02,0,97.55,100.11,188.5,0,48,80
Co_1,0.623,0.645,0.229,0.675,0.395,0.505,0.406,0.573,0.214,0.521,0.546,0.624,0.085,0.487,1.049,0.358,0.129,0.171,0.015,0.123,0.473,0.38,0.532,0.557,0.483,0.485,1.331,1.35,2.86,4.39,0.07,1.17,0,1.83,0,0,70.65,76.17,160,,55,87
Ct_1,1.268,1.218,0.654,1.082,0.729,1.143,0.745,1.216,1.222,1.093,1.157,1.272,0.036,0.861,1.112,0.09,0.103,0.09,0.009,0.151,0.771,0.733,0.916,0.736,0.844,0.658,0.639,2.34,3.29,4.47,0,2.97,0.18,1.05,0.15,0,88.48,96.8,168,0,40,60
Sb_1,1.071,1.136,0,1.187,0.371,1.088,0.442,1.137,0.081,1.006,0.915,1.155,0.414,0.753,0.702,0.157,0.932,0.011,0.137,0.131,0.844,0.453,0.573,0.686,0.632,0.693,0.655,4.99,3.99,5.33,0.22,3.1,0,2.49,0,0.46,61.31,29.1,119,4.18,15,106
Sb_2,1.095,1.148,0,1.138,0.481,1.19,0.531,1.468,0.022,1.118,1.046,1.234,0.975,0.952,0.836,0.834,0.009,0.018,0.018,0.14,0.76,0.433,0.529,0.696,0.55,0.614,0.679,4.07,3.74,5.12,0.15,2.33,0,2.4,0,0.33,64.26,41.11,131,1.65,21,103
Hop_2,0.941,0.992,0,0.976,0.493,0.958,0.423,1.056,0.068,0.895,1.182,0.945,0.171,0.794,0.946,0.782,0.007,0.014,0.01,0.105,0.641,0.494,0.685,0.747,0.419,0.711,0.678,6.29,2.96,5.83,0.54,2.105,0,1.78,0,0.34,42.22,55.37,86,3.57,59,33
Hop_3,1.16,1.175,0,1.065,0.572,1.12,0.583,0.719,0.074,1.078,1.219,1.072,0.587,0.91,0.901,0.875,0.164,0.05,0.009,0.117,0.673,0.527,0.74,0.793,0.564,0.708,0.768,5.14,3.15,5.48,0.34,2.03,0,1.68,0,0.2,54.96,56.44,108,0,59,49
Hos_1,1.223,1.209,0,1.217,0.662,1.246,0.78,1.14,0.841,1.197,1.201,1.261,0.883,0.934,0.487,1.048,0.008,0.009,0.007,0.14,0.602,0.696,0.711,0.834,0.419,0.671,0.741,9.32,3.35,5.11,0.74,2.65,0,2.01,0,0.52,23.87,35.81,47,3.515,21,48
Hos_2,1.239,1.197,0,1.312,0.719,1.258,0.828,1.314,0.116,1.262,1.01,1.31,0.866,0.943,0.916,0.92,0.011,0.01,0.008,0.158,0.633,0.723,0.684,0.837,0.394,0.781,0.808,9.53,3.31,5.14,0.55,2.49,0.07,1.99,0.03,0.65,25.41,39.26,49,3.325,30,49
Hos_4,1.235,1.211,0,1.272,0.738,1.275,0.845,1.149,0.129,1.223,1.063,1.334,0.658,0.966,0.668,0.965,0.008,0.01,0.008,0.145,0.634,0.777,0.733,0.861,0.465,0.768,0.761,9.43,2.99,5.6,0.45,0.79,0,2.36,0,0.65,19.41,31.22,38,,31,44
