communities,Sc,order_interaction (with Sc),replicates,fraction_sugars_consumed
Sc5,wSc,0,1,0.962595174708819
Sc5,wSc,0,2,0.956317021276596
Sc5,wSc,0,3,0.955891489361702
Sc8,wSc,0,1,0.961347254575707
Sc8,wSc,0,2,0.955593617021277
Sc8,wSc,0,3,0.955465957446808
"Zb;Sp;Ap;Pk;,woSc,4,1,0.309766555740433"
"Zb;Sp;Ap;Pk;,woSc,4,2,0.451508510638298"
"Zb;Sp;Ap;Pk;,woSc,4,3,0.458402127659574"
"Zb;Sp;Ap;Pk;Ap;,woSc,5,1,0.407769883527454"
"Zb;Sp;Ap;Pk;Ap;,woSc,5,2,0.456444680851064"
"Zb;Sp;Ap;Pk;Ap;,woSc,5,3,0.52538085106383"
"Zb;Sp;Ap;Pk;Ap;Sc5,wSc,5,1,0.452112645590682"
"Zb;Sp;Ap;Pk;Ap;Sc5,wSc,5,2,0.482402127659574"
"Zb;Sp;Ap;Pk;Ap;Sc5,wSc,5,3,0.395040425531915"
"Zb;Sp;Ap;Pk;Ap;Sc8,wSc,5,1,0.875698336106489"
"Zb;Sp;Ap;Pk;Ap;Sc8,wSc,5,2,0.885763829787234"
"Zb;Sp;Ap;Pk;Ap;Sc8,wSc,5,3,0.866444680851064"
"Zb;Sp;Ap;Pk;Hop;,woSc,5,1,0.957395507487521"
"Zb;Sp;Ap;Pk;Hop;,woSc,5,2,0.748487234042553"
"Zb;Sp;Ap;Pk;Hop;,woSc,5,3,0.775593617021277"
"Zb;Sp;Ap;Pk;Hop;Sc5,wSc,5,1,0.962470382695507"
"Zb;Sp;Ap;Pk;Hop;Sc5,wSc,5,2,0.955168085106383"
"Zb;Sp;Ap;Pk;Hop;Sc5,wSc,5,3,0.954785106382979"
"Zb;Sp;Ap;Pk;Hop;Sc8,wSc,5,1,0.960806489184692"
"Zb;Sp;Ap;Pk;Hop;Sc8,wSc,5,2,0.95538085106383"
"Zb;Sp;Ap;Pk;Hop;Sc8,wSc,5,3,0.955636170212766"
"Zb;Sp;Ap;Pk;Ku;,woSc,5,1,0.477611813643927"
"Zb;Sp;Ap;Pk;Ku;,woSc,5,2,0.412061702127659"
"Zb;Sp;Ap;Pk;Ku;,woSc,5,3,0.535508510638298"
"Zb;Sp;Ap;Pk;Ku;Sc5,wSc,5,1,0.364966222961731"
