Comunity,predicted_fun, observed_fun
Ku,Mp,Pk,0,237086802, 0,308785047
Ku,Mp,Sc5,0,773975509, 0,777009346
Ku,Mp,Sc8,0,808738724, 0,767728453
Ku,Mp,Td,0,503264216, 0,711433022
Ku,Mp,Zb,0,412626846, 0,501217549
Ku,Pk,Sc5,0,712740197, 0,710654206
Ku,Pk,Sc8,0,73630106, 0,741339564
Ku,Pk,Td,0,470492696, 0,661783489
Ku,Pk,Zb,0,407561474, 0,43491433
Ku,Sc5,Td,0,843124679, 0,955020768
Ku,Sc5,Zb,0,86962432, 0,718598131
Ku,Sc8,Td,0,854392552, 0,958642264
Ku,Sc8,Zb,0,878474465, 0,958862928
Ku,Td,Zb,0,631943506, 0,954203011
Mp,Pk,Sc5,0,667943018, 0,934745587
Mp,Pk,Sc8,0,703529518, 0,702645379
Mp,Pk,Td,0,475266322, 0,586640706
Mp,Pk,Zb,0,321265501, 0,340794393
Mp,Sc5,Td,0,825146792, 0,934745587
Mp,Sc5,Zb,0,810971967, 0,932110592
Mp,Sc8,Td,0,843917736, 0,95267134
Mp,Sc8,Zb,0,842623648, 0,956085151
Mp,Td,Zb,0,572085716, 0,763496885
Pk,Sc5,Td,0,769147065, 0,906708204
Pk,Sc5,Zb,0,740651807, 0,88636812
Pk,Sc8,Td,0,784451017, 0,922570093
Pk,Sc8,Zb,0,760907266, 0,917923157
Pk,Td,Zb,0,528808167, 0,636913292
Sc5,Td,Zb,0,879190486, 0,958200935
Sc8,Td,Zb,0,887420597, 0,957435099
Ku,Mp,Pk,Sc5,0,701063141, 0,585809969
Ku,Mp,Pk,Sc8,0,73861265, 0,617248183
Ku,Mp,Pk,Td,0,489255019, 0,567157321
Ku,Mp,Pk,Zb,0,387923316, 0,36376947
Ku,Mp,Sc5,Td,0,78024399, 0,912549325
Ku,Mp,Sc5,Zb,0,777226904, 0,798245068
Ku,Mp,Sc8,Td,0,802633822, 0,932214434
Ku,Mp,Sc8,Zb,0,806728792, 0,808123053
Ku,Mp,Td,Zb,0,595016899, 0,736458982
Ku,Pk,Sc5,Td,0,756259923, 0,903774663
Ku,Pk,Sc5,Zb,0,746667258, 0,779735203
Ku,Pk,Sc8,Td,0,777032083, 0,904540498
Ku,Pk,Sc8,Zb,0,77131553, 0,782525961
Ku,Pk,Td,Zb,0,576912855, 0,679177051
Ku,Sc5,Td,Zb,0,833876892, 0,955384216
Ku,Sc8,Td,Zb,0,842193532, 0,95894081
Mp,Pk,Sc5,Td,0,737563958, 0,84597352
Mp,Pk,Sc5,Zb,0,705767597, 0,724893562
Mp,Pk,Sc8,Td,0,762655668, 0,847609034
Mp,Pk,Sc8,Zb,0,741993632, 0,731565421
Mp,Pk,Td,Zb,0,540254984, 0,617663551
Mp,Sc5,Td,Zb,0,815382244, 0,949387331
Mp,Sc8,Td,Zb,0,829383983, 0,958174974
Pk,Sc5,Td,Zb,0,786656219, 0,931085151
Pk,Sc8,Td,Zb,0,799278186, 0,938938214
Ku,Mp,Pk,Sc5,Td,0,739139069, 0,801983385
Ku,Mp,Pk,Sc5,Zb,0,73017978, 0,657616822
Ku,Mp,Pk,Sc8,Td,0,762378187, 0,817235203
Ku,Mp,Pk,Sc8,Zb,0,759999477, 0,63635514
Ku,Mp,Sc5,Td,Zb,0,788120153, 0,917520768
Ku,Mp,Sc8,Td,Zb,0,804938394, 0,943182762
Mp,Pk,Sc5,Td,Zb,0,756029925, 0,868221703
Mp,Pk,Sc8,Td,Zb,0,774354333, 0,875257009
Hop,Lt,Sc5,0,877993556, 0,981226708
Hop,Lt,Sc8,0,882129239, 0,980505768
Hop,Lt,Sp,0,854508042, 0,980860692
Hop,Lt,Td,0,823723405, 0,902133984
Hop,Lt,Wa,0,793778325, 0,979585182
Hop,Sc5,Sp,0,866931267, 0,981393079
Hop,Sc5,Td,0,854268751, 0,970800799
Hop,Sc5,Wa,0,811461873, 0,82391748
Hop,Sc8,Sp,0,876736485, 0,980938332
Hop,Sc8,Td,0,865223578, 0,978553682
Hop,Sc8,Wa,0,843977778, 0,913458296
Hop,Sp,Td,0,75307043, 0,977610914
Hop,Sp,Wa,0,744149975, 0,980461402
Hop,Td,Wa,0,568639802, 0,663269743
Lt,Sc5,Sp,0,907425123, 0,981470719
Lt,Sc5,Td,0,894857371, 0,981614907
Lt,Sc5,Wa,0,909569781, 0,977843833
Lt,Sc8,Sp,0,906887071, 0,981359805
Lt,Sc8,Td,0,894781976, 0,981415262
Lt,Sc8,Wa,0,906430412, 0,978032387
Lt,Sp,Td,0,869455069, 0,981126886
Lt,Sp,Wa,0,895248588, 0,980339397
Lt,Td,Wa,0,844274892, 0,949738243
Sc5,Sp,Td,0,875659153, 0,981870009
Sc5,Sp,Wa,0,910611729, 0,981171251
Sc5,Td,Wa,0,85210897, 0,961262201
Sc8,Sp,Td,0,882742611, 0,981570541
Sc8,Sp,Wa,0,910788779, 0,98100488
Sc8,Td,Wa,0,868409285, 0,980361579
Sp,Td,Wa,0,749104406, 0,979640639
Hop,Lt,Sc5,Sp,0,879717188, 0,972298137
Hop,Lt,Sc5,Td,0,862750386, 0,979762644
Hop,Lt,Sc5,Wa,0,859353061, 0,98140417
Hop,Lt,Sc8,Sp,0,882467308, 0,980838509
Hop,Lt,Sc8,Td,0,86665084, 0,980705413
Hop,Lt,Sc8,Wa,0,864603428, 0,981093611
Hop,Lt,Sp,Td,0,846084548, 0,980239574
Hop,Lt,Sp,Wa,0,836487698, 0,980705413
Hop,Lt,Td,Wa,0,803658436, 0,895856256
Hop,Sc5,Sp,Td,0,852416425, 0,968893079
Hop,Sc5,Sp,Wa,0,84081855, 0,978132209
Hop,Sc5,Td,Wa,0,815845809, 0,879296806
Hop,Sc8,Sp,Td,0,857046763, 0,980860692
Hop,Sc8,Sp,Wa,0,850913894, 0,981027063
Hop,Sc8,Td,Wa,0,829341045, 0,91738465
Hop,Sp,Td,Wa,0,751135622, 0,907768412
Lt,Sc5,Sp,Td,0,880742655, 0,972043035
Lt,Sc5,Sp,Wa,0,885325504, 0,979851375
Lt,Sc5,Td,Wa,0,869301703, 0,977544366
Lt,Sc8,Sp,Td,0,881839832, 0,981581633
Lt,Sc8,Sp,Wa,0,885858209, 0,981182343
Lt,Sc8,Td,Wa,0,870391542, 0,978254215
Lt,Sp,Td,Wa,0,850086604, 0,980916149
Sc5,Sp,Td,Wa,0,855154587, 0,981293256
Sc8,Sp,Td,Wa,0,86051114, 0,98028394
Hop,Lt,Sc5,Sp,Td,0,870074881, 0,978010204
Hop,Lt,Sc5,Sp,Wa,0,86664244, 0,980239574
Hop,Lt,Sc5,Td,Wa,0,845953803, 0,97033496
Hop,Lt,Sc8,Sp,Td,0,872083794, 0,980150843
Hop,Lt,Sc8,Sp,Wa,0,869600387, 0,980428128
Hop,Lt,Sc8,Td,Wa,0,850025855, 0,948418367
Hop,Lt,Sp,Td,Wa,0,831210935, 0,925891748
Hop,Sc5,Sp,Td,Wa,0,833585812, 0,96993567
Hop,Sc8,Sp,Td,Wa,0,840681948, 0,972453416
Lt,Sc5,Sp,Td,Wa,0,859316803, 0,977433452
Lt,Sc8,Sp,Td,Wa,0,861431851, 0,981359805
Hop,Lt,Sc5,Sp,Td,Wa,0,866628243, 0,980550133
Hop,Lt,Sc8,Sp,Td,Wa,0,86971971, 0,980328305
